Data;Usuário;Nome;Tweet
2022-03-14 04:22:18+00:00;Karinaabelka;Karina;@SAOKOOPAI @mandafrn Vcs distorce tudo.... ele quis dizer que as pessoas que sai do bbb, elas pode ganhar isso até mais com as puplis e que poderia ganhar até mais.. para de criar fic
2022-03-14 04:17:04+00:00;roseexcrente;mosquitœr;@bbb Arthur tava procurando motivos pra largar o Lucas porque finalmente foi aceito pelos outros machos e achou de bom tom ressuscitar a história do Tiago como se ele mesmo não tivesse sido um dos que fizeram o Abrava se sentir excluído. Bobo é quem cai nessa fic
2022-03-14 04:14:58+00:00;gigigio_;Luiza Giovanna;Sapienza e eu conversando sobre BBB, a fanfic do casamento já tá pronta
2022-03-14 03:46:28+00:00;nkbipus;nini;@lianlgl Q NEM VI BBB HJ EU TAVA LENDO FANFIC
2022-03-14 03:25:21+00:00;jteovictor;Diplomata Teodoro 🌍;@rafabiomar @webtvbrasileira Ele não tá vivendo um BBB, pois perdeu tempo criando uma fanfic amorosa no país das maravilhas dele
2022-03-14 02:52:12+00:00;eukamilacosta;tarada por vacina;Na minha fanfic de bbb a Lina e o DG sao migos 😔😔😔
2022-03-14 02:49:38+00:00;toujoourspur;jane;meu feed lotado sobre o bbb, vou ler fanfic que ganho mais
2022-03-14 02:27:30+00:00;matthewsexile;talinda;já shippei o p.a com umas 5 pessoas diferentes nesse bbb juro oq posso fazer se ele parece que saiu de uma fanfic
2022-03-14 02:13:05+00:00;toxicrusader;t e c h n o m a n c e r;@criticando_bbb @Alineduarted_ @ZAMENZA Olha o nível da fic que o povo inventa pra justificar a passada de pano pra macho infiel...
2022-03-14 01:39:48+00:00;MarcelaLobo;Marcela 🦇;@ju_pel Qnd era da bbc era perfeitamente condensado 2 livros por temporada, a Netflix pegou e apesar de dar qualidade a série, cagou na história toda, fez basicamente uma fanfic… e o mais desesperador é que mudam fatos históricos…
2022-03-14 01:04:35+00:00;MarciaDeS4;Ubtk;@cynthinhaBR @paulofilippus @netflix @DamaresAlves Vishe ..o que a Senhora anda assistindo emmm !!! Kkkkkk procurando fic na Net
2022-03-14 00:50:58+00:00;quinzinhopoptv;QUINZINHO THURRÁ ✨ 🏄 🌵 🍺 Alma Gêmea No Viva !;@perrotarica4 @ozanni_r @bbb tá fanfiqueira em ?? Pior que a Lais nas fic já parabéns
2022-03-14 00:49:16+00:00;tefy2828;tefy - VAI VER LOUIS E JÃO;Louis fanfiqueiro olha a notificação da bíblia laranja lá em cima kkkkkkkkkkkkkk brincadeira a parte amei o sun 😭🥰 https://t.co/08PoKiJq2w
2022-03-14 00:12:22+00:00;ogatoalienado;comadre alie 🧬🧜🐆☕;@bbb_storm A fic meu pai kkkkkkk
2022-03-14 00:04:59+00:00;petitoduda;duda petito;volta e meia alguém da tl realmente acredita que a natalia do bbb tá grávida juro que fic boa
2022-03-13 23:12:54+00:00;Cacamelloo;ponto arrebentado da maira cardi;além do mais, é a jess meu Deus, até parece q ela vai votar pensando em proteção kkkk criticaram ela por isso o bbb todo pra chegarem agr inventar uma fic com um tipo de jogo q ela nem faz kkkkkk
